,country,description,designation,points,price,province,region_1,region_2,variety,winery
101,US,"The vineyard is out on the cooler west side of the appellation, and it shows in the balance and acidity of this fine Pinot. At the same time, that Paso heat has brought the grapes to cherry pie ripeness. The result is a deliciously drinkable wine.",HMR Estate,88,55.0,California,Paso Robles,Central Coast,Pinot Noir,Adelaida
102,US,"This lovely dessert wine is 100% Klipsun vineyard Sémillon left to hang until mid-December, then picked at 35 brix. The residual sugar is 18%; it's supple and not too syrupy.",Klipsun Vineyard Late Harvest,90,32.0,Washington,Red Mountain,Columbia Valley,Sémillon,JM Cellars
103,Italy,"Here's a fabulous 50-50 blend of Cabernet Sauvignon and Syrah that offers black, thick consistency and meaty aromas of cured beef, peppercorn, smoke, tobacco and loads of luscious dark berry fruit. It's a soft, velvety wine with a plush, soft finish.",Cacciacone,91,40.0,Tuscany,Toscana,,Red Blend,Tenuta San Giorgio
104,US,"A Bordeaux-style blend, this begins with concentrated strawberry and cherry flavors, rich and liquorous. A majority of the oak was Hungarian, and a strong vanilla streak runs through the middle and on into the finish. For some palates the fruit and the oak will seem a bit mismatched, but for others this will be right on the mark.",Teunis Red,87,45.0,Washington,Snipes Mountain,Columbia Valley,Bordeaux-style Red Blend,Upland Estates
105,France,"Nicolas Joly and his mother are possessors of the smallest appellation in France: Coulée de Serrant. This almost vertical vineyard, dropping down to the Loire, facing due south, makes a mythical wine that is powerful and laden with exotic fruit flavors: oranges, lemon, apricots, accented with spices and the tannins of a youthful white wine. This will last for decades. Imported by Vintus.",Clos de la Coulée de Serrant,95,79.0,Loire Valley,Savennières-Coulée de Serrant,,Chenin Blanc,Clos de la Coulée de Serrant
106,Australia,An opening scent of freshly cut grass is followed by some earthy low tones and an intense lemon note in the mouth. There's not a lot of concentration here but there's a bit of depth to the flavors and a pleasant chalkiness on the finish. Drink up.,Deen De Bortoli Vat 2,84,13.0,Australia Other,Australia,,Sauvignon Blanc,De Bortoli
107,US,"Craig's Howell Mountain Cab is far more tannic than its Mount Veeder version. It's shut down, but has an enormous heart of blackberry fruit that should emerge in time; classically structured. Start drinking it in 2008.",,92,55.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Robert Craig
108,Israel,This wine is dominated by sweet oak aromas of mocha and spice alongside fruit flavors of wild strawberry and ripe red cherry. Lightweight and easygoing; drink now.,Kosher,85,18.0,Galilee,,,Pinot Noir,Galil Mountain
109,US,"Tasted in the late summer of 2010, this Cab was pretty tannic and acidic, despite some very rich and dynamic blackberry, black cherry, currant and licorice flavors. It will hit its peak sometime in the next 2–3 years.",Best Barrel,86,40.0,California,Happy Canyon of Santa Barbara,Central Coast,Cabernet Sauvignon,Municipal Winemakers
110,Chile,"Strawberry preserves, leather, and some funk create an adequate nose, while the palate offers cherry, plum and black olive. Seems salty and/or pickled on the finish.",,83,7.0,Rapel Valley,,,Merlot,Caliterra
111,US,"A good, fruity, everyday Cabernet. It's a little too sharp throughout, but offers fine blackberry, blueberry, currant and licorice flavors. Ready now.",,86,27.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Ben Hogan
112,US,"Notes of dried sage and thyme persist, lending a nuanced complexity to this crisp, medium-bodied Merlot. It's elegant in style with concentrated blackberry and cherry flavors wrapped in layers of soft, velveteen tannins that linger on the finish.",Estate Reserve,88,16.0,New York,Finger Lakes,Finger Lakes,Merlot,Stony Lonesome
113,Portugal,"A young wine, where the acidity and wood are still coming together with the ripe fruit. There is an edge of austere tannin that is balancing the fresh berry fruits. If this is still a great wine in progress, just wait four years and it will be serious, structured and powerful.",,91,,Dão,,,Portuguese Red,Alvaro Castro
114,Australia,"A lush, slightly unstructured but immensely pleasurable mouthful of Shiraz, the 2007 St. Jakobi boasts bright raspberries balanced by lashings of chocolate. Easy to drink, it should put smiles on the faces of Shiraz lovers everywhere. Drink it over the next few years.",St. Jakobi Single Vineyard,90,36.0,South Australia,Barossa Valley,,Shiraz,Dutschke
115,Spain,"Deep and masculine, with full-force fruit from start to finish. The palate is wide, tannic and grabby, while the flavors of floral raspberry and blackberry are deepened by mild char and chocolate notes. Rich, creamy, oaky and a little brandied on the finish. Mencía from Valdeorras taken to a modern, extracted plane.",,90,75.0,Northern Spain,Valdeorras,,Mencía,Avanthia
116,US,"This is a flashy Chardonnay, marked by scads of oak that contributes buttered toast and vanilla cream. You find rich fruit flavors of pineapples and golden mangoes, but they struggle to overcome the barrel influence. Still, there's no denying the opulence. Drink now.",,90,39.0,California,Carneros,Napa-Sonoma,Chardonnay,Vine Cliff
117,Australia,"A sweet attack of ripe fruit is the opener for a crisp palate of raspberry jam, set in a bed of soft tannins. Juicy and extracted, this is one to catch young.",,85,12.0,Australia Other,South Eastern Australia,,Cabernet Sauvignon,Angus The Bull
118,US,"Harsh in texture and hot, with sweet and sour flavors of raspberries, cherries and mint.",,81,25.0,California,Paso Robles,Central Coast,Zinfandel,Pianetta
119,US,"A nice, flavorful and dry Syrah for drinking now with barbecue or a rich lamb or beef stew. Soft and gentle, it's rich in blackberries, cherries, currants, beef jerky, pepper and smoky oak.",Clover Creek Vineyard,87,20.0,California,Santa Ynez Valley,Central Coast,Syrah,Brander
120,Austria,"A big, bold wine, now getting mature. Solidly full of ripe berry fruits, wood and soft tannins, it also has a complexity of other flavors: spice, thyme, smokiness. Impressive for its density and power.",Grande Reserve,90,60.0,Thermenregion,,,Pinot Noir,Johanneshof Reinisch
121,Chile,"Fairly gritty and reduced at first, with aromas of grilled beef, leather and herbs. After some airing it rounds out to show flavors of raspberry and sweet red fruits, while the feel is chewy, full and candied. Never really gets it going but not bad for a basic Chilean red blend.",Chamán Reserva,84,14.0,Colchagua Valley,,,Cabernet Sauvignon-Syrah,Viña Santacruz
122,Chile,"Concentrated and sweet, with medicinal aromas, a lot of color and burnt characteristics. The palate is big and acidic, with jumpy plum, berry and candied flavors. Short and stunted on the finish, and seemingly roasted. A step down from the previous vintage.",Reserva,84,14.0,Colchagua Valley,,,Syrah,TerraNoble
123,Chile,"A bold and chunky customer with multiple personalities. The nose has big black fruit, smoke, leather, barrel char and even some wet dog smells, while the palate is easygoing and full, with herbal, roasted fruit and spice. Long and mostly true on the finish. Uncomplicated but solid.",Casillero del Diablo Reserve,86,12.0,Rapel Valley,,,Malbec,Concha y Toro
124,US,"Somewhere in all the sugar there is a crisp, subtlely fruity Roussanne, with citrus, pear and wildflower flavors. But the sweetness buries everything else.",,83,16.0,California,Lake County,Mendocino/Lake Counties,Roussanne,Writer's Block
125,Italy,"Here's a nicely aged red blend that boasts thick aromatic intensity and penetrating notes of ripe fruit, spice and loads of oak shadings in the form of vanilla bean and dark chocolate. The wine has a thick meaty quality, back by power and concentration and a chewy, syrupy consistency. You'll feel its weight on the palate.",Black Label,91,,Tuscany,Colli della Toscana Centrale,,Red Blend,I Balzini
126,Portugal,"This single vineyard Vinho Verde is complex and powerful. The texture is creamy, rich, with hints of pineapple as well as grapefruit. There is an edgy texture, balanced with the crispest final acidity.",Quinta de Simaens,88,13.0,Vinho Verde,,,Portuguese White,Borges
127,US,"The name says it all. This blend of Cabernet Sauvignon, Merlot and Primitivo is a simple, but entirely satisfying and very useful, red wine, at a good price. It's dry and flavorful and lusty, with notes of wild red berries and pepper. California country-style wine at its best.",Simply Red,88,13.0,California,North Coast,North Coast,Red Blend,Fair Hare
128,US,"A blend of 65% Merlot, 29% Cabernet Sauvignon and 6% Petit Verdot, this is slightly more open and accessible than the companion Cabernet Sauvignon, but it's clearly structured for cellaring. The plump, expressive midpalate opens generously and spreads fully across the tongue, offering notes of cherry, cassis, licorice and pepper.",Clos de Betz Red Wine,95,52.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Betz Family
129,New Zealand,"Lightweight and fresh, this is a crisp, peppery Sauvignon Blanc with a core of grapefruit and a touch of sweatiness to its aromas. Probably best with potent shellfish preparations, like mussels steamed in white wine and herbs.",,85,12.0,Marlborough,,,Sauvignon Blanc,Redcliffe
130,US,"Nothing shy about this powerhouse Syrah. A barrel selection from Morgan's cool-climate vineyard, it's bone dry and strong in acids and tannins, with underlying flavors of blackberries, sour cherries, tobacco, mint, anise and spices, especially crushed black peppercorn. Dramatic and elegant, this Syrah should hold and develop throughout the next six years.",Double L Vineyard,92,40.0,California,Santa Lucia Highlands,Central Coast,Syrah,Morgan
131,US,"This is rich, ripe and succulent, with blackberry and black currant flavors. As decadently fruity as it tastes, the finish is firm and dry. There's lots of balanced elegance in this drink-me-now Cabernet.",Hilltop,90,35.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,J. Lohr
132,Italy,"As its name suggests, this is a racy little Prosecco with simple fruit layers of peach and citrus followed by perky effervescence.",Brut,84,,Veneto,Prosecco,,Glera,Rapido
133,US,"Bombastic and burly, this wine holds a depth of black raspberry and cherry at its edge, surrounded in swathes of smoky oak. Rich and full bodied, it is a testament to the intrigue of baking spices and black tea, but more significantly to dark chocolate and espresso.",Dutton Ranch,89,39.0,California,Russian River Valley,Sonoma,Pinot Noir,Sonoma-Loeb
134,France,"A beautifully crisp wine, fresh and leaping with green fruits. This wine is characterized by its steely core and great acidity, with green plum skins and a structure that promises a long, slow development.",,90,22.0,Loire Valley,Savennières,,Chenin Blanc,Domaine des Baumard
135,US,"Don't drink this beauty too cold with your lobster, crab or scallops. It has the weight of a noble wine, with minerality and creaminess giving shape and texture to the leesy, yeasty flavors of pineapples, Key lime pie and ripe pear purée. Aged in 40% new French oak, California Chardonnay hardly gets any better than this.",Ashley's Vineyard,95,28.0,California,Sta. Rita Hills,Central Coast,Chardonnay,Fess Parker
136,France,"Soft and creamy, this has good intensity of flavor. Ripe pear and red apple flavors introduce a soft, rounded texture and a rich, ripe finish. Screwcap.",,86,15.0,Alsace,Alsace,,Pinot Blanc,Pierre Sparr
137,Uruguay,"Maybe this wine weighs in a bit stewy and heavy, but along the way it has some virtues, namely an attractive rum-raisin quality to the bouquet and intense black-fruit flavors. It's a chunky wine that stumbles along the palate, but you have to admire it's richness and stuffing. The blend is Tannat, Cabernet and Merlot.",TCM,85,19.0,Canelones,,,Red Blend,Toscanini
138,Australia,"JC is making an effort to upgrade its Reserve range, and this is a good example, offering peach and pineapple flavors framed by vanilla, butter and toast. It's all barrel-fermented, impressive at this production level (25,000 cases) and price point.",Reserve,87,12.0,South Australia,South Australia,,Chardonnay,Jacob's Creek
